Data,Nazwa stacji,Lokalizacja,Województwo,Temperatura wody[°C]
2023-05-01,GARDNA WIELKA,Jez. Gardno,pomorskie,10.4
2023-05-01,RUCIANE-NIDA,Jez. Nidzkie,warmińsko-mazurskie,12.8
2023-05-01,WRÓBEL,Jez. Hańcza,podlaskie,5.1
2023-05-01,WÓLKA,Jez. Rospuda Filipowska,podlaskie,8.8
2023-05-01,WIGRY,Jez. Wigry,podlaskie,10.6
2023-05-01,PRZEWIĘŹ,Jez. Białe Augustowskie,podlaskie,11.9
2023-05-01,PRZEWIĘŹ,Jez. Studzieniczne,podlaskie,11.4
2023-05-01,BORKI,Jez. Litygajno,warmińsko-mazurskie,11.6
2023-05-01,EŁK,Jez. Ełckie,warmińsko-mazurskie,10.7
2023-05-01,SORDACHY,Jez. Selmęt Wielki,warmińsko-mazurskie,11.0
2023-05-01,MORSKIE OKO,Morskie Oko,małopolskie,brak danych
2023-05-01,TRZEBIEŻ,Zalew Szczeciński,zachodniopomorskie,13.1
2023-05-01,NOWA PASŁĘKA,Zalew Wiślany,warmińsko-mazurskie,brak danych
2023-05-01,TOLKMICKO,Zalew Wiślany,warmińsko-mazurskie,8.9
2023-05-01,ŚWINOUJŚCIE,Bałtyk,zachodniopomorskie,11.3
2023-05-01,MIĘDZYZDROJE,Bałtyk,zachodniopomorskie,9.8
2023-05-01,KOŁOBRZEG,Morze Bałtyckie,zachodniopomorskie,11.1
2023-05-01,USTKA,Morze Bałtyckie,pomorskie,10.9
2023-05-01,WŁADYSŁAWOWO,Morze Bałtyckie,pomorskie,8.9
2023-05-01,HEL,Morze Bałtyckie,pomorskie,7.9
2023-05-01,PUCK,Morze Bałtyckie,pomorskie,10.6
2023-05-01,GDYNIA,Morze Bałtyckie,pomorskie,brak danych
2023-05-01,MALDANIN,Jez. Roś,warmińsko-mazurskie,12.1
2023-05-01,MIKOŁAJKI,Jez. Mikołajskie,warmińsko-mazurskie,9.6
2023-05-01,RAJGRÓD,Jez. Rajgrodzkie,podlaskie,11.1
2023-05-01,KRONOWO,Jez. Dejguny,warmińsko-mazurskie,9.2
2023-05-01,PRZYSTAŃ,Jez. Mamry,warmińsko-mazurskie,10.1
2023-05-01,IZBICA,Jez. Łebsko,pomorskie,11.2
